"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US5001774950","Vershire town, Orange County, Vermont","372","85","303","80","69","27",
"0600000US5001776750","Washington town, Orange County, Vermont","517","90","488","92","29","20",
"0600000US5001779975","West Fairlee town, Orange County, Vermont","334","63","307","60","27","16",
"0600000US5001784175","Williamstown town, Orange County, Vermont","1329","100","1205","101","124","83",
"0600000US5001900475","Albany town, Orleans County, Vermont","394","82","367","81","27","21",
"0600000US5001903550","Barton town, Orleans County, Vermont","1176","101","869","83","307","68",
"0600000US5001909850","Brownington town, Orleans County, Vermont","410","67","332","59","78","39",
"0600000US5001913150","Charleston town, Orleans County, Vermont","464","90","404","87","60","29",
"0600000US5001916150","Coventry town, Orleans County, Vermont","378","81","313","57","65","63",
"0600000US5001916300","Craftsbury town, Orleans County, Vermont","527","105","435","91","92","42",
"0600000US5001917350","Derby town, Orleans County, Vermont","2224","129","1883","133","341","83",
"0600000US5001928075","Glover town, Orleans County, Vermont","433","73","403","71","30","19",
"0600000US5001930175","Greensboro town, Orleans County, Vermont","289","47","235","43","54","29",
"0600000US5001933775","Holland town, Orleans County, Vermont","361","70","260","50","101","53",
"0600000US5001935575","Irasburg town, Orleans County, Vermont","534","96","460","89","74","44",
"0600000US5001936325","Jay town, Orleans County, Vermont","232","60","225","60","7","7",
"0600000US5001940525","Lowell town, Orleans County, Vermont","371","91","349","90","22","13",
"0600000US5001946450","Morgan town, Orleans County, Vermont","382","65","324","61","58","32",
"0600000US5001948850","Newport city, Orleans County, Vermont","2031","127","1169","159","862","167",
"0600000US5001948925","Newport town, Orleans County, Vermont","744","102","608","88","136","66",
"0600000US5001973525","Troy town, Orleans County, Vermont","709","89","614","82","95","42",
"0600000US5001980200","Westfield town, Orleans County, Vermont","218","55","200","52","18","10",
"0600000US5001981700","Westmore town, Orleans County, Vermont","195","45","172","46","23","14",
"0600000US5002105200","Benson town, Rutland County, Vermont","314","41","254","43","60","30",
"0600000US5002107750","Brandon town, Rutland County, Vermont","1703","141","1435","132","268","97",
"0600000US5002111950","Castleton town, Rutland County, Vermont","1663","196","1313","205","350","135",
"0600000US5002114350","Chittenden town, Rutland County, Vermont","509","73","476","72","33","14",
"0600000US5002114500","Clarendon town, Rutland County, Vermont","1028","108","867","101","161","60",
