agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
0,2026-02-11T00:00:00.000Z,,1,,2023-07-10T00:00:00.000Z,0,,,,AE,0,,,,3.0,0,,11.0,1940-10-01T00:00:00.000Z,2022-02-21T00:00:00.000Z,18589.37,0.0,0.0,0,RatingEngine,0,221000.0,0.0,2023,1,16797.0,5,18589.37,206686.0,4,N,0.0,,0.0,0.0,,,,,0.0,0,Vermont/New York Flooding,30000.0,0.0,500123.0,,"WATERBURY, TOWN OF",,,1.0,305760.0,0.0,A,0,0.0,,,0,VT,Currently Unavailable,5676.0,50023.0,50023954300.0,500239543004.0,44.3,-72.8,3c5f0c56-a034-47e9-9795-cbadbc9c96ce
0,2026-02-11T00:00:00.000Z,0.0,1,,2011-05-27T00:00:00.000Z,0,3,3.0,599.0,AE,0,4.0,597.8,601.8,2.0,0,,18.0,1995-01-01T00:00:00.000Z,2011-03-31T00:00:00.000Z,,,,1,RatingEngine,0,500000.0,451000.0,2011,0,1177.0,5,0.0,432823.0,4,N,,5,0.0,,0.0,,,,0.0,0,,30000.0,0.0,500105.0,500105.0,"BARRE, CITY OF",,1.0,1.0,465079.0,,A,0,1.0,AE,8.0,0,VT,Currently Unavailable,5641.0,50023.0,50023955200.0,500239552005.0,44.2,-72.5,98846d0c-e0d2-4dab-b42c-1a98c2d86b10
0,2026-02-11T00:00:00.000Z,2.0,1,,2023-07-10T00:00:00.000Z,0,,,,AE,0,,,,2.0,0,,11.0,1900-01-01T00:00:00.000Z,2021-05-28T00:00:00.000Z,20540.35,0.0,0.0,0,RatingEngine,0,206000.0,0.0,2023,1,22540.0,2,20540.35,182398.0,4,N,,,0.0,,,,,,,0,Vermont/New York Flooding,30000.0,0.0,500145.0,500145.0,"CAVENDISH, TOWN OF",,,1.0,260569.0,,A,0,,AE,1.0,0,VT,Currently Unavailable,5142.0,50027.0,50027966200.0,500279662002.0,43.4,-72.6,468e51b2-c87b-4c96-8b36-e2f8f76e1e02
0,2026-02-11T00:00:00.000Z,2.0,1,,1992-03-11T00:00:00.000Z,0,,,,AE,0,,,,3.0,0,,6.0,1950-07-01T00:00:00.000Z,1991-12-19T00:00:00.000Z,14591.33,0.0,0.0,0,1,0,35000.0,0.0,1992,0,19592.0,G,14591.33,809001.0,2,N,,,0.0,,0.0,,940.0,,0.0,0,Flooding,30000.0,0.0,505518.0,505518.0,"MONTPELIER, CITY OF",97.0,,0.0,0.0,,A,0,21.0,AE,1.0,0,VT,Currently Unavailable,5602.0,50023.0,50023954600.0,500239546002.0,44.3,-72.6,b3412399-cd2a-4832-9974-36913790407e
0,2026-02-11T00:00:00.000Z,2.0,1,,2023-07-10T00:00:00.000Z,0,2,,,AE,0,,,,2.0,0,,12.0,1940-01-01T00:00:00.000Z,2016-08-07T00:00:00.000Z,15117.96,0.0,0.0,0,RatingEngine,0,142000.0,0.0,2023,1,21270.0,5,15117.96,597664.0,4,N,0.0,,0.0,0.0,0.0,,,,0.0,0,Vermont/New York Flooding,30000.0,0.0,500105.0,500105.0,"BARRE, CITY OF",,,3.0,597664.0,0.0,A,0,0.0,AE,1.0,0,VT,Currently Unavailable,5641.0,50023.0,50023955100.0,500239551003.0,44.2,-72.5,edc54730-8d8d-4f07-bcee-d045b40ae5aa
0,2026-02-11T00:00:00.000Z,4.0,1,,2023-07-10T00:00:00.000Z,0,,,,X,0,,,,2.0,0,,11.0,1989-01-01T00:00:00.000Z,2015-06-29T00:00:00.000Z,9803.8,340.89,0.0,1,RatingEngine,0,250000.0,100000.0,2023,1,9671.0,F,9803.8,142225.0,4,N,1341.0,1,340.89,100000.0,0.0,,,,,0,Vermont/New York Flooding,30000.0,0.0,500106.0,500106.0,"BERLIN, TOWN OF",,,1.0,184708.0,0.0,R,0,,X,1.0,0,VT,Currently Unavailable,5602.0,50023.0,50023954500.0,500239545001.0,44.2,-72.6,7ee9e8fe-39fc-4213-a462-5c6a23608a76
0,2026-02-11T00:00:00.000Z,2.0,1,,2011-08-28T00:00:00.000Z,0,,,,C,0,2.0,,,2.0,0,,1.0,2003-06-01T00:00:00.000Z,2005-07-01T00:00:00.000Z,15712.95,0.0,0.0,1,1,0,75000.0,0.0,2011,1,16712.0,1,15712.95,84963.0,2,N,,1,0.0,,0.0,,287.0,,0.0,0,Hurricane Irene,30000.0,0.0,500031.0,,,20.0,,1.0,124946.0,,R,0,1.0,,1.0,0,VT,Currently Unavailable,5819.0,50005.0,50005957400.0,500059574001.0,44.4,-72.0,9a96ab2d-aba9-421b-919a-7009073a9e22
0,2026-02-11T00:00:00.000Z,,1,,1996-05-15T00:00:00.000Z,0,2,,,AE,0,3.0,,,1.0,0,10.0,1.0,1950-07-01T00:00:00.000Z,1987-01-27T00:00:00.000Z,11892.27,2400.0,0.0,0,1,0,13600.0,2400.0,1996,0,12643.0,1,11892.27,29250.0,4,N,3150.0,1,2400.0,0.0,0.0,,,,0.0,0,,15000.0,0.0,500219.0,,,,,1.0,0.0,0.0,A,0,6.0,,,0,VT,Currently Unavailable,,50011.0,50011010600.0,500110106003.0,44.8,-73.2,8d8f38dd-9482-4e88-9f94-42cb25c2de39
0,2026-02-11T00:00:00.000Z,1.0,1,,2011-04-27T00:00:00.000Z,0,,,,X,0,2.0,,,3.0,0,,1.0,1970-07-01T00:00:00.000Z,2007-03-24T00:00:00.000Z,8193.23,0.0,0.0,0,7,0,150000.0,60000.0,2011,1,,1,0.0,,4,N,,1,0.0,,0.0,,,,0.0,0,,30000.0,0.0,500220.0,,,98.0,98.0,1.0,,,R,0,1.0,,1.0,0,VT,Currently Unavailable,5488.0,50011.0,50011010500.0,500110105005.0,44.9,-73.2,eddfffd0-6b35-488f-a8ab-70f7640c60cd
0,2026-02-11T00:00:00.000Z,,1,,2011-08-28T00:00:00.000Z,0,,,,C,0,6.0,,,5.0,0,,1.0,1978-07-01T00:00:00.000Z,1994-02-21T00:00:00.000Z,7115.0,0.0,0.0,1,1,0,17500.0,9100.0,2011,1,8115.0,1,7115.0,25873.0,2,N,,1,0.0,,0.0,,287.0,,0.0,0,Hurricane Irene,30000.0,0.0,500090.0,500090.0,"BRANDON, TOWN OF",20.0,,1.0,60172.0,,A,0,1.0,AE,1.0,0,VT,Currently Unavailable,5745.0,50021.0,50021962200.0,500219622001.0,43.8,-73.1,b558d967-5753-4ef9-9385-22d300f9a78b
