"CID","Community Name","County","Init FHBM Identified","Init FIRM Identified","Curr Eff Map Date","Tribal","Reg-Emer Date","CRS Entry Date","Curr Eff Date","Curr Class","% Disc","Program","Participating Community"
"500058#","ST. ALBANS, CITY OF","FRANKLIN COUNTY",="05/17/74",="06/15/78",="06/15/78","No",="06/15/78",,,,,"Regular","YES"
"500320#","ST. GEORGE, TOWN OF","CHITTENDEN COUNTY",="04/11/75",="09/27/85",="08/04/14(M)","No",="09/27/85",,,,,"Regular","YES"
"500031#","ST. JOHNSBURY, TOWN OF","CALEDONIA COUNTY",="08/02/74",="07/03/86",="07/03/86","No",="07/03/86",,,,,"Regular","YES"
"500020A","STAMFORD, TOWN OF","BENNINGTON COUNTY",="05/31/74",="07/03/78","12/02/15","No",="07/03/78",,,,,"Regular","YES"
"500197","STANNARD, TOWN OF","CALEDONIA COUNTY",,,"(NSFHA)","No",="02/08/85",,,,,"Regular","YES"
"500172","STARKSBORO, TOWN OF","ADDISON COUNTY",="01/31/75","12/04/85","12/04/85(M)","No","12/04/85",,,,,"Regular","YES"
"500155#","STOCKBRIDGE, TOWN OF","WINDSOR COUNTY","11/01/74",="09/04/86",="09/28/07","No",="09/04/86",,,,,"Regular","YES"
"500066#","STOWE, TOWN OF","LAMOILLE COUNTY",="07/21/74",="07/02/80",="08/04/05","No",="07/02/80",,,,,"Regular","YES"
"500240#","STRAFFORD, TOWN OF","ORANGE COUNTY",="03/28/75",="09/27/85",="02/03/93","No",="09/27/85",,,,,"Regular","YES"
"500321#","STRATTON, TOWN OF","WINDHAM COUNTY",="01/31/75",="09/28/07",="09/28/07","No",="08/21/08",,,,,"Regular","YES"
"500269#","SUDBURY, TOWN OF","RUTLAND COUNTY",="01/24/75",="08/28/08",="08/28/08(M)","No",="09/28/10",,,,,"Regular","YES"
"500021A","SUNDERLAND, TOWN OF","BENNINGTON COUNTY",="02/01/74","11/01/85","12/02/15","No","11/01/85",,,,,"Regular","YES"
"500198","SUTTON, TOWN OF","CALEDONIA COUNTY","12/13/74",="08/01/17",="08/01/17(L)","No",="08/01/17",,,,,"Regular","YES"
"500220#","SWANTON, TOWN OF","FRANKLIN COUNTY",="02/28/75",="04/18/83",="04/18/83","No",="04/18/83",,,,,"Regular","YES"
"500060#","SWANTON, VILLAGE OF","FRANKLIN COUNTY",="03/22/74",="03/16/83",="03/16/83","No",="03/16/83",,,,,"Regular","YES"
"500075#","THETFORD, TOWN OF","ORANGE COUNTY",="08/16/74",="06/03/91","12/20/99","No",="06/03/91",,,,,"Regular","YES"
"500270#","TINMOUTH, TOWN OF","RUTLAND COUNTY","12/06/74",="08/28/08",="08/28/08(M)","No",="01/23/23",,,,,"Regular","YES"
"500241#","TOPSHAM, TOWN OF","ORANGE COUNTY","10/29/76",="09/18/85",="09/27/91","No",="09/18/85",,,,,"Regular","YES"
