GEOID,town_name,pct_no_vehicle,pct_no_vehicle_moe,no_vehicle_available,no_vehicle_available_moe,occupied_housing_units,occupied_housing_units_moe
5001709325,Brookfield town,2.358490566037736,2.3852070635915625,15,15,636,96
5001713525,Chelsea town,4.174573055028463,3.28296553991261,22,17,527,77
5001715700,Corinth town,0.7836990595611284,0.9476513041429822,5,6,638,95
5001725675,Fairlee town,4.930966469428008,3.5108347808866505,25,17,507,107
5001748175,Newbury town,10.435663627152989,4.293200378778676,103,40,987,134
5001753425,Orange town,4.239401496259352,5.0390758917526455,17,20,401,68
5001758075,Randolph town,5.6741028128031035,2.9946225327407237,117,61,2062,169
5001770675,Strafford town,0.6920415224913495,0.8729733533307072,4,5,578,98
5001772400,Thetford town,0.0,0.7380073800738007,0,10,1355,129
5001773075,Topsham town,3.686635944700461,2.8229439026278857,16,12,434,67
5001773675,Tunbridge town,1.1428571428571428,1.1554017062795963,6,6,525,78
5001774950,Vershire town,0.5376344086021506,0.8157545489738207,2,3,372,85
5001776750,Washington town,2.321083172147002,1.9759885877542005,12,10,517,90
5001779975,West Fairlee town,0.0,2.9940119760479043,0,10,334,63
5001784175,Williamstown town,7.223476297968396,4.995795017090502,96,66,1329,100
5001900475,Albany town,1.7766497461928936,2.0638500882604203,7,8,394,82
5001903550,Barton town,8.58843537414966,3.563568268254117,101,41,1176,101
5001909850,Brownington town,5.365853658536586,3.289744866638639,22,13,410,67
5001913150,Charleston town,3.2327586206896552,2.871034995300488,15,13,464,90
5001916150,Coventry town,4.761904761904762,4.870007164379712,18,18,378,81
5001916300,Craftsbury town,5.692599620493358,4.32590660307218,30,22,527,105
5001917350,Derby town,5.530575539568345,2.8508400833093326,123,63,2224,129
5001928075,Glover town,3.0023094688221708,3.5009862970956798,13,15,433,73
5001930175,Greensboro town,3.1141868512110724,3.497075621022778,9,10,289,47
5001933775,Holland town,3.0470914127423825,3.922867397642684,11,14,361,70
5001935575,Irasburg town,1.1235955056179776,0.9578700095872358,6,5,534,96
5001936325,Jay town,7.758620689655173,10.961085960474831,18,25,232,60
5001940525,Lowell town,0.5390835579514826,0.8193651144321348,2,3,371,91
5001946450,Morgan town,0.7853403141361256,1.3157043283360046,3,5,382,65
5001948850,Newport city,14.574101427868044,5.346581710399554,296,107,2031,127
5001948925,Newport town,9.274193548387096,7.633515841237188,69,56,744,102
5001973525,Troy town,1.1283497884344147,0.997414308925869,8,7,709,89
5001980200,Westfield town,7.339449541284404,7.125537007327908,16,15,218,55
5001981700,Westmore town,3.5897435897435894,3.1864880515588787,7,6,195,45
5002105200,Benson town,1.2738853503184715,1.6010206961762006,4,5,314,41
5002107750,Brandon town,2.701115678214915,1.8922987211343092,46,32,1703,141
5002111950,Castleton town,5.2916416115454,4.672000574755377,88,77,1663,196
5002114350,Chittenden town,3.732809430255403,3.188680504906774,19,16,509,73
5002114500,Clarendon town,7.295719844357977,5.886688715060229,75,60,1028,108
5002116825,Danby town,3.4907597535934287,3.1099628305387794,17,15,487,60
5002125375,Fair Haven town,1.1964107676969093,1.1119877798684148,12,11,1003,154
5002134450,Hubbardton town,2.0066889632107023,2.385203823393555,6,7,299,68
5002135425,Ira town,3.7267080745341614,2.592538500275675,6,4,161,32
5002137685,Killington town,0.7792207792207793,1.0499914969756763,3,4,385,75
5002144125,Mendon town,0.6651884700665188,1.114006994018103,3,5,451,74
5002144800,Middletown Springs town,2.2058823529411766,2.585780049406374,6,7,272,31
5002147200,Mount Holly town,1.8363939899833055,2.1862402047435303,11,13,599,86
5002147425,Mount Tabor town,1.9230769230769231,2.7133760339640243,3,4,156,72
5002154250,Pawlet town,7.166666666666667,4.60791188381596,43,27,600,83
5002155450,Pittsfield town,3.1746031746031744,4.821520312567516,6,9,189,45
5002155600,Pittsford town,1.6534867002156721,1.8784526478713277,23,26,1391,157
5002156875,Poultney town,4.182879377431906,2.9555646063974765,43,30,1028,115
5002157250,Proctor town,5.072463768115942,4.956673143032435,35,34,690,73
5002161225,Rutland city,12.314540059347182,3.306289757496704,913,242,7414,317
5002161300,Rutland town,10.73345259391771,4.8804500258573285,180,80,1677,161
5002165275,Shrewsbury town,0.5102040816326531,0.7711814541499564,2,3,392,73
5002171050,Sudbury town,2.2813688212927756,2.3361868424877916,6,6,263,58
5002172925,Tinmouth town,0.9345794392523363,1.2671552809436422,3,4,321,79
5002175925,Wallingford town,0.9987515605493134,1.5023244307854746,8,12,801,90
5002177950,Wells town,0.0,2.141327623126338,0,10,467,97
5002180875,West Haven town,1.0752688172043012,2.168366230744056,1,2,93,24
5002182300,West Rutland town,5.595854922279793,4.7373857623398745,54,45,965,144
5002303175,Barre city,13.605276013678555,4.279960006694085,557,171,4094,281
5002303250,Barre town,3.4893617021276593,2.7885811425559384,123,98,3525,219
5002305650,Berlin town,8.368200836820083,3.6495366115030374,100,43,1195,87
5002311125,Cabot town,2.1015761821366024,1.6246355828765435,12,9,571,107
5002311350,Calais town,0.8902077151335311,0.8990070057703072,6,6,674,95
5002318550,Duxbury town,2.564102564102564,1.8020435676744657,16,11,624,91
5002321925,East Montpelier town,1.0434782608695654,1.1364786595558425,12,13,1150,129
5002325825,Fayston town,0.7312614259597806,1.0992651226736312,4,6,547,54
5002343600,Marshfield town,0.2812939521800281,0.4236468745243522,2,3,711,96
5002344500,Middlesex town,0.8032128514056224,0.9425167997852665,6,7,747,94
5002346000,Montpelier city,9.621069604944907,2.6917302138024772,358,98,3721,215
5002346225,Moretown town,2.8963414634146343,2.463838362419315,19,16,656,79
5002350275,Northfield town,2.4789522918615527,2.1166333791567316,53,45,2138,193
5002355825,Plainfield town,3.2478632478632483,2.313662535239307,19,13,585,116
5002360625,Roxbury town,0.5714285714285714,1.1535545991605605,2,4,350,96
5002375325,Waitsfield town,8.665105386416862,7.290761751591776,74,61,854,144
5002376525,Warren town,0.0,1.4285714285714286,0,10,700,108
5002376975,Waterbury town,7.94816414686825,5.528343055208378,184,127,2315,199
5002385525,Woodbury town,0.6802721088435374,1.0321174834757694,2,3,294,67
5002386125,Worcester town,2.722772277227723,2.2716963028382624,11,9,404,66
5002501900,Athens town,13.966480446927374,9.369501402114027,25,16,179,36
5002507900,Brattleboro town,9.903688896965292,3.5932434491308043,545,196,5503,264
5002509475,Brookline town,5.660377358490567,6.195052912602217,12,13,212,33
5002517875,Dover town,3.443328550932568,2.9290438282228926,24,20,697,119
5002518325,Dummerston town,0.0,1.1111111111111112,0,10,900,137
5002528900,Grafton town,2.848101265822785,3.2004072346433965,9,10,316,53
5002530925,Guilford town,1.0999083409715857,1.2919887862497708,12,14,1091,149
5002531150,Halifax town,10.457516339869281,7.731497981416943,32,23,306,53
5002536175,Jamaica town,2.684563758389262,2.7549114493939686,12,12,447,103
5002540225,Londonderry town,2.3195876288659796,2.4930234046865523,18,19,776,157
5002543375,Marlboro town,6.837606837606838,4.71569617918434,24,16,351,62
5002548400,Newfane town,1.25,1.814388948905099,9,13,720,103
5002557700,Putney town,2.0044543429844097,1.7897949159388284,18,16,898,76
5002560250,Rockingham town,14.813126709206928,5.5056309982997185,325,119,2194,140
5002565762,Somerset town,,,0,10,0,10
5002570750,Stratton town,0.0,7.633587786259542,0,10,131,43
5002573300,Townshend town,5.68561872909699,3.79025131294506,34,21,598,150
5002574800,Vernon town,5.058365758754864,3.7574641213717674,52,38,1028,137
5002576225,Wardsboro town,0.0,2.9069767441860463,0,10,344,43
5002581400,Westminster town,2.881619937694704,3.3610165599742974,37,43,1284,127
5002583950,Whitingham town,1.9677996422182469,1.9931407067931113,11,11,559,90
5002584700,Wilmington town,1.4763779527559056,1.7837981924789037,15,18,1016,143
5002584850,Windham town,7.6923076923076925,8.304478883454463,18,19,234,53
5002701300,Andover town,0.0,4.201680672268908,0,10,238,45
5002702575,Baltimore town,0.0,7.462686567164178,0,10,134,30
5002702725,Barnard town,0.0,2.092050209205021,0,10,478,112
5002705800,Bethel town,3.4722222222222223,2.2487800638752242,30,19,864,117
5002708275,Bridgewater town,6.971677559912854,5.037194879371777,32,22,459,102
5002712250,Cavendish town,2.178649237472767,1.571616735342406,10,7,459,80
5002713675,Chester town,4.294478527607362,5.158682190668417,56,67,1304,140
5002732275,Hartford town,6.403415154749199,2.71263200162544,300,126,4685,259
5002732425,Hartland town,0.8238276299112801,1.39582081847745,13,22,1578,130
5002741275,Ludlow town,6.852248394004283,4.460656230199881,64,41,934,108
5002752900,Norwich town,0.7178750897343862,1.0781713549656573,10,15,1393,105
5002756050,Plymouth town,1.3215859030837005,1.7789994089392962,3,4,227,42
5002756350,Pomfret town,3.9260969976905313,4.907927545431024,17,21,433,83
5002758375,Reading town,0.0,3.3557046979865772,0,10,298,55
5002760100,Rochester town,5.189340813464235,3.9067837630909485,37,27,713,132
5002760850,Royalton town,6.369426751592357,5.616385084879438,80,70,1256,137
5002763775,Sharon town,1.40405616224649,1.2649201630962288,9,8,641,94
5002769550,Springfield town,13.223787167449139,5.345042816342577,507,201,3834,302
5002770375,Stockbridge town,1.2468827930174564,1.2758911206465227,5,5,401,87
5002777500,Weathersfield town,2.380952380952381,2.8657718021803187,25,30,1050,98
5002782000,Weston town,5.39568345323741,2.6985214966592195,15,7,278,50
5002783050,West Windsor town,1.0309278350515463,1.2465441542162696,5,6,485,72
5002784925,Windsor town,12.960893854748603,7.765006672895051,232,138,1790,128
5002785975,Woodstock town,6.83321087435709,3.8590056359940847,93,52,1361,108
