GEOID,town_name,pct_bachelors_or_higher,pct_bachelors_or_higher_moe,bachelors_or_higher,bachelors_or_higher_moe,total_population_25+,total_population_25+_moe
5001980200,Westfield town,27.296587926509186,11.857821274888085,104,38.600518131237564,381,86
5001981700,Westmore town,32.22222222222222,11.759390897160218,116,32.28002478313795,360,85
5002105200,Benson town,32.64604810996563,12.309253899209537,190,65.33758489567853,582,90
5002107750,Brandon town,32.11749515816656,6.41809125302733,995,191.6402880398587,3098,165
5002111950,Castleton town,37.85249457700651,8.184642571234663,1047,211.25340233946528,2766,215
5002114350,Chittenden town,51.54349859681946,17.450338207215545,551,146.11296999240005,1069,225
5002114500,Clarendon town,25.47840349917988,7.1788539460696175,466,121.74563647211345,1829,193
5002116825,Danby town,34.77321814254859,8.910110978991154,322,69.02173570694958,926,130
5002125375,Fair Haven town,23.69693713057496,6.860395896646357,441,114.88690090693542,1861,235
5002134450,Hubbardton town,43.20557491289199,15.589588241957259,248,72.3118247591637,574,122
5002135425,Ira town,37.07165109034268,11.968158736694912,119,29.30870177950569,321,67
5002137685,Killington town,57.20858895705522,17.88420878594168,373,91.20307012376283,652,127
5002144125,Mendon town,49.44071588366891,11.807468637972358,442,72.069410986909,894,156
5002144800,Middletown Springs town,45.55765595463138,9.980865852430485,241,42.7551166528639,529,68
5002147200,Mount Holly town,41.9234360410831,10.868486159737058,449,97.13392816107047,1071,153
5002147425,Mount Tabor town,34.85477178423236,20.173759242195054,84,37.72267222772003,241,88
5002154250,Pawlet town,37.47591522157997,9.876768760566037,389,88.30062287436029,1038,139
5002155450,Pittsfield town,45.426829268292686,20.021259108730156,149,51.39066063011839,328,90
5002155600,Pittsford town,36.98979591836735,10.029921965733983,870,230.23249119096982,2352,139
5002156875,Poultney town,35.450819672131146,7.305743978617878,692,135.19615379144483,1952,128
5002157250,Proctor town,28.149300155520997,6.580765490522339,362,69.60603422117941,1286,171
5002161225,Rutland city,33.35236541598695,4.552306725369527,4089,542.2600851989754,12260,396
5002161300,Rutland town,37.992831541218635,8.597879473529439,1166,255.74596771014788,3069,171
5002165275,Shrewsbury town,40.993071593533486,12.782301125494735,355,84.303024856763,866,175
5002171050,Sudbury town,34.34125269978402,11.240642748129927,159,41.617304093369626,463,91
5002172925,Tinmouth town,46.55172413793103,18.61191794347223,243,81.0740402348372,522,115
5002175925,Wallingford town,30.253521126760564,7.882921027593702,537,114.46396812971321,1775,266
5002177950,Wells town,29.720670391061454,10.141704141478465,266,71.76350047203663,895,187
5002180875,West Haven town,30.555555555555557,18.889399502902336,55,31.096623610932426,180,45
5002182300,West Rutland town,35.197174808711004,11.085616589689218,598,165.96385148579796,1699,253
5002303175,Barre city,36.1073624231519,5.882015693012157,2408,367.4928570734403,6669,380
5002303250,Barre town,39.21665840356966,6.336205280949107,2373,367.8083740210383,6051,276
5002305650,Berlin town,28.513513513513512,4.653853031699122,633,97.07728879609277,2220,124
5002311125,Cabot town,44.7265625,11.974979067634722,458,90.49861877399013,1024,185
5002311350,Calais town,55.41972290138549,12.421219013002048,680,124.74373731775074,1227,158
5002318550,Duxbury town,58.514492753623195,11.707982658841464,646,99.498743710662,1104,141
5002321925,East Montpelier town,59.579060982191045,11.413797516967088,1104,195.60674834984604,1853,135
5002325825,Fayston town,66.86507936507937,11.403994143689456,674,95.8070978581441,1008,95
5002343600,Marshfield town,38.505280259951256,9.853768966563441,474,89.37001734362593,1231,213
5002344500,Middlesex town,54.68639887244539,11.349569424444304,776,119.71215477135144,1419,197
5002346000,Montpelier city,66.12184249628528,6.961254667516531,4005,394.02284197746707,6057,227
5002346225,Moretown town,58.099173553719005,11.944369983290812,703,117.43508845315355,1210,145
5002350275,Northfield town,34.60125918153201,6.837812906630925,1319,248.54174699635473,3812,227
5002355825,Plainfield town,48.177339901477836,10.54075316711486,489,80.19351594736322,1015,147
5002360625,Roxbury town,29.903536977491964,11.58360641930444,186,53.87021440462252,622,160
5002375325,Waitsfield town,63.629629629629626,14.888113323461525,859,163.82307529771256,1350,183
5002376525,Warren town,59.97056659308315,19.208053855376757,815,195.72940504686565,1359,288
5002376975,Waterbury town,54.18994413407822,11.0689875039374,2134,414.6625133768424,3938,248
5002385525,Woodbury town,48.91518737672584,18.199036178584784,248,71.98610977126073,507,118
5002386125,Worcester town,53.03514376996805,12.311133622296417,332,63.984373092185564,626,81
5002501900,Athens town,30.275229357798167,12.042303474208623,99,31.51190251317746,327,78
5002507900,Brattleboro town,46.548652861278114,5.411129911347681,4181,464.400689060643,8982,308
5002509475,Brookline town,41.05793450881612,11.393277163542775,163,37.93415347678132,397,60
5002517875,Dover town,48.88698630136986,16.075120428078286,571,167.6305461424021,1168,173
5002518325,Dummerston town,58.71047737135772,12.162922758930002,947,160.98136538121423,1613,191
5002528900,Grafton town,48.37476099426386,14.188782024678357,253,58.642987645583,523,94
5002530925,Guilford town,44.81185860889396,9.6588629488268,786,143.4886755113448,1754,201
5002531150,Halifax town,44.89795918367347,10.909093905330487,242,45.8475735453906,539,82
5002536175,Jamaica town,48.656294200848656,16.454651993635014,344,100.0499875062461,707,122
5002540225,Londonderry town,35.781544256120526,13.764323042906234,570,188.29232591903474,1593,314
5002543375,Marlboro town,53.65079365079365,14.489084738212432,338,73.45747068882783,630,101
5002548400,Newfane town,46.536267318663405,11.877348436975868,571,123.28422445714618,1227,167
5002557700,Putney town,48.59028194361128,10.092670391348298,810,154.30489298787643,1667,138
5002560250,Rockingham town,37.08628005657709,7.5466736022452405,1311,255.93163149560078,3535,203
5002565762,Somerset town,,,0,20.0,0,10
