GEOID,town_name,pct_renter_occupied,pct_renter_occupied_moe,renter_occupied,renter_occupied_moe,total_occupied,total_occupied_moe
5001773075,Topsham town,9.67741935483871,6.847004324216738,42,29,434,67
5001773675,Tunbridge town,15.80952380952381,10.550496876005555,83,54,525,78
5001774950,Vershire town,18.548387096774192,8.404873395768298,69,27,372,85
5001776750,Washington town,5.609284332688588,3.989808414294154,29,20,517,90
5001779975,West Fairlee town,8.08383233532934,5.0272372819069,27,16,334,63
5001784175,Williamstown town,9.330323551542513,6.284633630528918,124,83,1329,100
5001900475,Albany town,6.852791878172589,5.517467692140151,27,21,394,82
5001903550,Barton town,26.105442176870746,6.201768023696094,307,68,1176,101
5001909850,Brownington town,19.024390243902438,10.007341804306431,78,39,410,67
5001913150,Charleston town,12.931034482758621,6.7344963276250125,60,29,464,90
5001916150,Coventry town,17.195767195767196,17.06914122893668,65,63,378,81
5001916300,Craftsbury town,17.4573055028463,8.695579534911612,92,42,527,105
5001917350,Derby town,15.33273381294964,3.836519441634989,341,83,2224,129
5001928075,Glover town,6.928406466512701,4.540798058879993,30,19,433,73
5001930175,Greensboro town,18.685121107266436,10.484621177167035,54,29,289,47
5001933775,Holland town,27.977839335180054,15.65171020725237,101,53,361,70
5001935575,Irasburg town,13.857677902621724,8.608082144050703,74,44,534,96
5001936325,Jay town,3.0172413793103448,3.116511908598428,7,7,232,60
5001940525,Lowell town,5.929919137466308,3.793931090072653,22,13,371,91
5001946450,Morgan town,15.18324607329843,8.766309173615621,58,32,382,65
5001948850,Newport city,42.44214672575086,8.640239291233451,862,167,2031,127
5001948925,Newport town,18.27956989247312,9.218159027358872,136,66,744,102
5001973525,Troy town,13.399153737658676,6.157994671997635,95,42,709,89
5001980200,Westfield town,8.256880733944955,5.038010223808131,18,10,218,55
5001981700,Westmore town,11.794871794871794,7.6781339098406844,23,14,195,45
5002105200,Benson town,19.10828025477707,9.87455160471579,60,30,314,41
5002107750,Brandon town,15.736934820904287,5.842956755584722,268,97,1703,141
5002111950,Castleton town,21.04630186410102,8.488376207717739,350,135,1663,196
5002114350,Chittenden town,6.4833005893909625,2.9034076897612646,33,14,509,73
5002114500,Clarendon town,15.66147859922179,6.0640628491430295,161,60,1028,108
5002116825,Danby town,10.677618069815194,4.312330834297448,52,20,487,60
5002125375,Fair Haven town,19.441674975074775,7.590646704748076,195,70,1003,154
5002134450,Hubbardton town,5.351170568561873,3.2467464715555434,16,9,299,68
5002135425,Ira town,9.316770186335404,6.481346250689188,15,10,161,32
5002137685,Killington town,25.454545454545453,11.983186089515279,98,42,385,75
5002144125,Mendon town,7.760532150776053,5.471732519265071,35,24,451,74
5002144800,Middletown Springs town,9.558823529411764,3.8344859174782133,26,10,272,31
5002147200,Mount Holly town,7.846410684474124,6.607590746492406,47,39,599,86
5002147425,Mount Tabor town,7.6923076923076925,7.8946297725720065,12,11,156,72
5002154250,Pawlet town,12.166666666666668,5.592595144253773,73,32,600,83
5002155450,Pittsfield town,23.809523809523807,17.855053127713866,45,32,189,45
5002155600,Pittsford town,19.410496046010064,11.497503818412351,270,157,1391,157
5002156875,Poultney town,28.696498054474706,7.091208972938558,295,65,1028,115
5002157250,Proctor town,13.333333333333334,5.2649558486040515,92,35,690,73
5002161225,Rutland city,45.13083355813326,5.577763583642215,3346,388,7414,317
5002161300,Rutland town,24.26952892069171,9.358493810677894,407,152,1677,161
5002165275,Shrewsbury town,4.846938775510204,3.1915225043062754,19,12,392,73
5002171050,Sudbury town,4.182509505703422,3.544182622324421,11,9,263,58
5002172925,Tinmouth town,6.230529595015576,4.3304113602094265,20,13,321,79
5002175925,Wallingford town,17.478152309612984,10.178758522566264,140,80,801,90
5002177950,Wells town,6.638115631691649,5.114413717044819,31,23,467,97
5002180875,West Haven town,9.67741935483871,9.994470713995081,9,9,93,24
5002182300,West Rutland town,18.44559585492228,7.468707789259693,178,67,965,144
5002303175,Barre city,49.63361016121153,8.169681169572451,2032,304,4094,281
5002303250,Barre town,11.574468085106384,4.092047434411153,408,142,3525,219
5002305650,Berlin town,12.05020920502092,5.014575899639864,144,59,1195,87
5002311125,Cabot town,16.28721541155867,7.162661264336879,93,37,571,107
5002311350,Calais town,7.566765578635016,3.2932120758683334,51,21,674,95
5002318550,Duxbury town,17.628205128205128,7.807193413818542,110,46,624,91
5002321925,East Montpelier town,17.82608695652174,6.406990522323741,205,70,1150,129
5002325825,Fayston town,12.979890310786105,7.784431700121046,71,42,547,54
5002343600,Marshfield town,15.330520393811534,7.330661399509234,109,50,711,96
5002344500,Middlesex town,3.3467202141900936,1.920897494633616,25,14,747,94
5002346000,Montpelier city,46.895995700080626,6.773597247155115,1745,231,3721,215
5002346225,Moretown town,15.091463414634147,6.508878925891162,99,41,656,79
5002350275,Northfield town,26.4733395696913,6.88282748823954,566,138,2138,193
5002355825,Plainfield town,19.14529914529915,15.514381085339007,112,88,585,116
5002360625,Roxbury town,6.0,4.590830257042793,21,15,350,96
5002375325,Waitsfield town,20.140515222482435,8.656505509050431,172,68,854,144
5002376525,Warren town,13.285714285714286,7.020206261928254,93,47,700,108
5002376975,Waterbury town,29.373650107991363,9.374527843665021,680,209,2315,199
5002385525,Woodbury town,5.1020408163265305,4.572081911406068,15,13,294,67
5002386125,Worcester town,14.108910891089108,8.011971834758604,57,31,404,66
5002501900,Athens town,26.256983240223462,14.410267947446009,47,24,179,36
5002507900,Brattleboro town,41.468290023623474,5.939991646897098,2282,308,5503,264
5002509475,Brookline town,15.09433962264151,9.722150996396204,32,20,212,33
5002517875,Dover town,18.938307030129124,15.407651310068632,132,105,697,119
5002518325,Dummerston town,7.111111111111111,4.574366169177762,64,40,900,137
5002528900,Grafton town,10.126582278481013,6.859177325579075,32,21,316,53
5002530925,Guilford town,19.890009165902843,8.424307070832516,217,87,1091,149
5002531150,Halifax town,13.398692810457517,8.493140038886333,41,25,306,53
