GEOID,town_name,pct_below_poverty,pct_below_poverty_moe,below_poverty_total,below_poverty_total_moe,total_population,total_population_moe
5000773975,Underhill town,6.367398917542184,8.309511224781865,200,261,3141,15
5000780350,Westford town,2.532751091703057,1.5973463777408443,58,36,2290,256
5000784475,Williston town,4.276380914670362,3.068716085497223,432,310,10102,24
5000785150,Winooski city,13.784705309303458,3.739655774542152,1132,307,8212,57
5000902125,Averill town,0.0,111.11111111111111,0,10,9,9
5000902162,Avery's gore,,,0,10,0,10
5000906325,Bloomfield town,2.1367521367521367,3.89742030251774,5,9,234,69
5000908725,Brighton town,22.022279348757497,16.18636458547377,257,184,1167,194
5000910075,Brunswick town,4.587155963302752,5.157136171017316,5,5,109,56
5000911800,Canaan town,10.37037037037037,4.4274864128491265,84,34,810,110
5000915250,Concord town,13.187772925764193,4.9694928567101035,151,53,1145,157
5000921250,East Haven town,16.0,13.773177726703379,36,28,225,83
5000925975,Ferdinand town,91.17647058823529,113.4350991364461,62,57,68,57
5000929125,Granby town,7.462686567164178,9.378163242978212,5,6,67,25
5000930775,Guildhall town,11.859838274932615,7.08047203157162,44,23,371,107
5000939700,Lemington town,1.8518518518518516,2.8531741316805888,2,3,108,38
5000939775,Lewis town,,,0,10,0,10
5000941425,Lunenburg town,10.601265822784809,4.065226138879985,134,48,1264,173
5000942475,Maidstone town,2.0746887966804977,2.153371677673737,5,5,241,67
5000952750,Norton town,12.962962962962962,11.017534389424823,14,11,108,35
5000975175,Victory town,45.28301886792453,46.28464799365557,24,21,53,28
5000976337,Warner's grant,,,0,10,0,10
5000976562,Warren's gore,,,0,10,0,10
5001102500,Bakersfield town,7.303877366997296,3.8824416470739522,81,41,1109,180
5001105425,Berkshire town,14.639769452449567,7.708937964708378,254,128,1735,265
5001124050,Enosburgh town,13.943355119825709,6.355863821036453,384,175,2754,27
5001124925,Fairfax town,5.08993494068121,3.3678510033038225,266,176,5226,23
5001125225,Fairfield town,5.056759545923633,3.5646755601950324,98,68,1938,241
5001126500,Fletcher town,3.8461538461538463,2.3178120494187606,46,26,1196,250
5001127100,Franklin town,8.553459119496855,5.2443873914563754,136,79,1590,312
5001127700,Georgia town,5.153374233128835,4.049114863515615,252,198,4890,16
5001133025,Highgate town,8.134920634920634,5.045486358478732,287,178,3528,16
5001145850,Montgomery town,15.56829035339064,8.30585324117125,163,80,1047,219
5001159125,Richford town,19.542619542619544,8.591627439734067,470,197,2405,319
5001161675,St. Albans city,19.47826086956522,6.450032146189025,1344,445,6900,35
5001161750,St. Albans town,5.331541218637993,2.808752692135118,357,188,6696,99
5001164600,Sheldon town,5.1395657953035006,3.6475475528406873,116,80,2257,378
5001171725,Swanton town,13.020527859237538,5.938527209832595,888,405,6820,19
5001300860,Alburgh town,11.431742508324085,4.985009383280494,206,86,1802,227
5001329275,Grand Isle town,6.843065693430657,3.682988557270328,150,79,2192,243
5001335875,Isle La Motte town,14.904679376083187,11.079114478907746,86,60,577,148
5001350650,North Hero town,7.28424386381631,3.660802247382281,92,44,1263,195
5001367000,South Hero town,3.467843631778058,1.7560453425008715,55,27,1586,197
5001504375,Belvidere town,5.450236966824645,3.5600673892441965,23,14,422,100
5001511500,Cambridge town,6.663127156888771,3.1592521461300165,251,119,3767,22
