GEOID,town_name,median_year_house_built,median_year_house_built_moe
5002147425,Mount Tabor town,1946,4
5002154250,Pawlet town,1964,8
5002155450,Pittsfield town,1977,5
5002155600,Pittsford town,1972,6
5002156875,Poultney town,1968,7
5002157250,Proctor town,1939-,***
5002161225,Rutland city,1939-,***
5002161300,Rutland town,1976,3
5002165275,Shrewsbury town,1975,4
5002171050,Sudbury town,1977,6
5002172925,Tinmouth town,1973,5
5002175925,Wallingford town,1971,9
5002177950,Wells town,1977,3
5002180875,West Haven town,1978,5
5002182300,West Rutland town,1939-,***
5002303175,Barre city,1947,13
5002303250,Barre town,1974,4
5002305650,Berlin town,1979,5
5002311125,Cabot town,1977,8
5002311350,Calais town,1976,6
5002318550,Duxbury town,1988,7
5002321925,East Montpelier town,1978,5
5002325825,Fayston town,1977,2
5002343600,Marshfield town,1972,9
5002344500,Middlesex town,1986,4
5002346000,Montpelier city,1955,3
5002346225,Moretown town,1982,4
5002350275,Northfield town,1956,7
5002355825,Plainfield town,1955,21
5002360625,Roxbury town,1974,13
5002375325,Waitsfield town,1980,4
5002376525,Warren town,1977,1
5002376975,Waterbury town,1983,7
5002385525,Woodbury town,1970,7
5002386125,Worcester town,1976,4
5002501900,Athens town,1973,8
5002507900,Brattleboro town,1955,5
5002509475,Brookline town,1975,3
5002517875,Dover town,1984,2
5002518325,Dummerston town,1971,5
5002528900,Grafton town,1978,6
5002530925,Guilford town,1980,4
5002531150,Halifax town,1968,6
5002536175,Jamaica town,1976,4
5002540225,Londonderry town,1978,6
5002543375,Marlboro town,1976,7
5002548400,Newfane town,1971,7
5002557700,Putney town,1977,5
5002560250,Rockingham town,1939-,***
5002565762,Somerset town,1952,24
5002570750,Stratton town,1988,3
5002573300,Townshend town,1982,5
5002574800,Vernon town,1979,3
5002576225,Wardsboro town,1978,3
5002581400,Westminster town,1980,7
5002583950,Whitingham town,1974,4
5002584700,Wilmington town,1975,3
5002584850,Windham town,1982,4
5002701300,Andover town,1980,5
5002702575,Baltimore town,1977,10
5002702725,Barnard town,1971,8
5002705800,Bethel town,1966,8
5002708275,Bridgewater town,1976,4
5002712250,Cavendish town,1968,10
5002713675,Chester town,1972,8
5002732275,Hartford town,1979,2
5002732425,Hartland town,1971,6
5002741275,Ludlow town,1982,2
5002752900,Norwich town,1982,3
5002756050,Plymouth town,1980,3
5002756350,Pomfret town,1970,6
5002758375,Reading town,1969,9
5002760100,Rochester town,1967,5
5002760850,Royalton town,1965,7
5002763775,Sharon town,1981,4
5002769550,Springfield town,1958,5
5002770375,Stockbridge town,1977,4
5002777500,Weathersfield town,1978,4
5002782000,Weston town,1969,7
5002783050,West Windsor town,1980,3
5002784925,Windsor town,1945,7
5002785975,Woodstock town,1958,17
