GEOID,town_name,pct_mobile_home,pct_mobile_home_moe,mobile_homes,mobile_homes_moe,total_housing_units,total_housing_units_moe
5001980200,Westfield town,6.730769230769231,6.244295662932434,21,19,312,64
5001981700,Westmore town,1.3266998341625207,1.0075558742133917,8,6,603,72
5002105200,Benson town,20.568927789934357,7.289227044063875,94,32,457,45
5002107750,Brandon town,7.656731757451182,4.318515493726721,149,83,1946,172
5002111950,Castleton town,8.418803418803419,4.677398385837022,197,108,2340,211
5002114350,Chittenden town,1.5723270440251573,1.1169696083954526,10,7,636,77
5002114500,Clarendon town,14.391829155060353,5.909790764703965,155,62,1077,100
5002116825,Danby town,17.991004497751124,7.210326087544271,120,46,667,78
5002125375,Fair Haven town,6.481481481481481,3.9505929830998543,84,50,1296,170
5002134450,Hubbardton town,5.034722222222222,3.2379767799179837,29,18,576,97
5002135425,Ira town,4.102564102564102,4.154082367323722,8,8,195,31
5002137685,Killington town,0.7921539041870993,0.9065180530689567,21,24,2651,156
5002144125,Mendon town,1.2738853503184715,1.2871899507390532,8,8,628,91
5002144800,Middletown Springs town,9.749303621169917,4.614225013136646,35,16,359,44
5002147200,Mount Holly town,5.887445887445888,3.6092477479002807,68,41,1155,128
5002147425,Mount Tabor town,3.867403314917127,4.687039724650023,7,8,181,73
5002154250,Pawlet town,3.979460847240052,2.350161332256735,31,18,779,84
5002155450,Pittsfield town,2.393617021276596,2.9537656377048074,9,11,376,64
5002155600,Pittsford town,12.004730928444706,7.334506825868964,203,122,1691,186
5002156875,Poultney town,7.374224672639559,4.000644503828375,107,57,1451,149
5002157250,Proctor town,3.552631578947368,3.432530413806222,27,26,760,60
5002161225,Rutland city,3.005753199483386,1.7649143473996696,256,150,8517,325
5002161300,Rutland town,1.0079575596816976,1.1169805460108444,19,21,1885,151
5002165275,Shrewsbury town,6.378986866791744,3.173425001319848,34,16,533,86
5002171050,Sudbury town,5.405405405405405,4.157217016440171,20,15,370,63
5002172925,Tinmouth town,8.017817371937639,4.711641581580055,36,20,449,86
5002175925,Wallingford town,7.329842931937172,4.585387411869987,70,43,955,113
5002177950,Wells town,5.433526011560693,3.133555992657179,47,26,865,141
5002180875,West Haven town,11.851851851851853,9.222521641956249,16,12,135,28
5002182300,West Rutland town,3.298774740810556,2.7594647243085686,35,29,1061,122
5002303175,Barre city,1.130334486735871,0.9493497986987095,49,41,4335,315
5002303250,Barre town,5.81267217630854,3.1893800718553464,211,115,3630,230
5002305650,Berlin town,22.52747252747253,7.007876577601642,287,87,1274,89
5002311125,Cabot town,12.952646239554316,9.320890363252794,93,65,718,123
5002311350,Calais town,3.0012004801920766,1.7267676254150008,25,14,833,110
5002318550,Duxbury town,6.843575418994413,3.8901964084021174,49,27,716,100
5002321925,East Montpelier town,9.84,4.593649516250015,123,56,1250,129
5002325825,Fayston town,3.1428571428571432,2.1082055475583266,33,22,1050,78
5002343600,Marshfield town,7.950310559006211,3.374562479160106,64,26,805,99
5002344500,Middlesex town,9.936305732484078,5.247364687038549,78,40,785,99
5002346000,Montpelier city,0.8671257332313186,0.8430143982965044,34,33,3921,219
5002346225,Moretown town,10.790464240903388,5.28976768499457,86,41,797,91
5002350275,Northfield town,7.3614557485525225,3.171312352194307,178,75,2418,217
5002355825,Plainfield town,1.1437908496732025,1.3259743359893565,7,8,612,119
5002360625,Roxbury town,8.764044943820224,4.693779012319872,39,19,445,99
5002375325,Waitsfield town,1.651376146788991,1.479671024728598,18,16,1090,123
5002376525,Warren town,0.7658202337767029,1.0490281494441154,19,26,2481,153
5002376975,Waterbury town,4.442771084337349,3.705045855264386,118,98,2656,201
5002385525,Woodbury town,12.857142857142856,6.4510204081632665,90,44,700,79
5002386125,Worcester town,7.377049180327869,4.232766462630562,36,20,488,70
5002501900,Athens town,19.736842105263158,9.870683635262784,45,21,228,41
5002507900,Brattleboro town,5.144312393887946,2.153251333142642,303,126,5890,281
5002509475,Brookline town,5.947955390334572,5.294614991462854,16,14,269,44
5002517875,Dover town,0.390625,0.4236067064379601,12,13,3072,150
