GEOID,town_name,percent_with_disability,percent_with_disability_moe,with_disability,with_disability_moe,total_population,total_population_moe
5002517875,Dover town,13.369713506139155,6.138218525661804,196,83.70782520170978,1466,247
5002518325,Dummerston town,15.35885167464115,5.492469230368996,321,104.52272480183436,2090,309
5002528900,Grafton town,12.462462462462462,5.849127794594183,83,35.014282800023196,666,137
5002530925,Guilford town,11.986997155627794,4.341866194759624,295,98.67623827447011,2461,342
5002531150,Halifax town,13.81345926800472,5.757516411851703,117,40.74309757492672,847,194
5002536175,Jamaica town,14.625850340136054,8.324312537104786,129,70.15696686716153,882,148
5002540225,Londonderry town,14.255205552589429,7.664325931135926,267,134.28328265275616,1873,356
5002543375,Marlboro town,26.87224669603524,9.525662953193322,366,122.78029157808675,1362,156
5002548400,Newfane town,11.538461538461538,4.905573355651439,168,67.23094525588644,1456,209
5002557700,Putney town,20.175438596491226,5.043653716751145,529,132.1060180309739,2622,30
5002560250,Rockingham town,13.173277661795407,3.348010557147717,631,160.3558542741736,4790,16
5002565762,Somerset town,,,0,34.64101615137755,0,10
5002570750,Stratton town,6.015037593984962,7.866133731567531,32,40.27406113120453,532,189
5002573300,Townshend town,11.377245508982035,4.911267319255462,171,58.47221562417487,1503,396
5002574800,Vernon town,19.263987983477282,5.601391508114675,513,122.60913505934214,2663,441
5002576225,Wardsboro town,10.731707317073171,5.336247069400127,88,40.47221268969612,820,155
5002581400,Westminster town,16.408355795148246,5.230932373351794,487,155.19987113396712,2968,25
5002583950,Whitingham town,12.280701754385964,4.722290164686691,168,57.61076288333631,1368,238
5002584700,Wilmington town,13.680595306239269,5.499944176611483,239,92.06519429187124,1747,201
5002584850,Windham town,12.289562289562289,6.818433551963256,73,36.0,594,151
5002701300,Andover town,6.493506493506493,5.186474911460973,40,30.983866769659336,616,120
5002702575,Baltimore town,12.18836565096953,7.890515598426435,44,26.851443164195103,361,78
5002702725,Barnard town,8.835672997522709,5.916150215464368,107,66.59579566308972,1211,299
5002705800,Bethel town,14.631336405529954,4.9131766751153485,254,78.49840762716146,1736,228
5002708275,Bridgewater town,19.081632653061227,6.981702604991241,187,54.323107422164284,980,218
5002712250,Cavendish town,17.18241042345277,5.570329754942821,211,57.68015256567895,1228,214
5002713675,Chester town,17.914438502673796,6.13553743429658,536,183.4965939738392,2992,30
5002732275,Hartford town,15.414276309602181,3.005667971216782,1639,319.57628197349067,10633,21
5002732425,Hartland town,14.826589595375722,5.12680862848266,513,177.36967046256808,3460,17
5002741275,Ludlow town,12.621857362750127,3.60468471441256,246,59.9666574022598,1949,290
5002752900,Norwich town,10.412087912087912,3.570080802350976,379,129.93075078671714,3640,22
5002756050,Plymouth town,13.50844277673546,7.7733349607921,72,38.01315561749642,533,122
5002756350,Pomfret town,9.47136563876652,5.586764138739662,86,48.07286136688766,908,171
5002758375,Reading town,17.59656652360515,6.358201367891993,123,37.107950630558946,699,139
5002760100,Rochester town,13.03095752339813,5.645721448971263,181,70.90839160494335,1389,257
5002760850,Royalton town,7.8851744186046515,3.3376983798929114,217,91.80958555619343,2752,36
5002763775,Sharon town,8.497146480659481,3.5440940950033224,134,52.20153254455275,1577,235
5002769550,Springfield town,23.16580011554015,4.661364800982412,2005,403.35964101531033,8655,35
5002770375,Stockbridge town,11.883691529709228,5.665210000431107,94,40.74309757492672,791,157
5002777500,Weathersfield town,15.278757939308399,4.8834024322169745,433,138.351002887583,2834,23
5002782000,Weston town,7.623318385650224,5.144857409017835,51,32.77193921634788,669,138
5002783050,West Windsor town,7.600341588385994,4.013415973812681,89,43.31281565541543,1171,240
5002784925,Windsor town,22.3546511627907,6.507567398935314,769,223.82805900958888,3440,17
5002785975,Woodstock town,14.434373950990265,4.864973872330829,430,144.88616221019868,2979,24
