GEOID,town_name,median_income,median_income_moe
5002573300,Townshend town,78750.0,28645.0
5002574800,Vernon town,85682.0,9380.0
5002576225,Wardsboro town,62000.0,6480.0
5002581400,Westminster town,71491.0,3579.0
5002583950,Whitingham town,70625.0,10782.0
5002584700,Wilmington town,70000.0,22642.0
5002584850,Windham town,94500.0,11966.0
5002701300,Andover town,102500.0,37746.0
5002702575,Baltimore town,107500.0,15622.0
5002702725,Barnard town,97581.0,19059.0
5002705800,Bethel town,75822.0,7137.0
5002708275,Bridgewater town,70272.0,3460.0
5002712250,Cavendish town,89063.0,28784.0
5002713675,Chester town,62125.0,7868.0
5002732275,Hartford town,78125.0,6517.0
5002732425,Hartland town,86136.0,22743.0
5002741275,Ludlow town,54885.0,14422.0
5002752900,Norwich town,140313.0,12023.0
5002756050,Plymouth town,87614.0,8132.0
5002756350,Pomfret town,84229.0,7929.0
5002758375,Reading town,85000.0,18958.0
5002760100,Rochester town,72676.0,8052.0
5002760850,Royalton town,103938.0,24252.0
5002763775,Sharon town,84375.0,16539.0
5002769550,Springfield town,66571.0,12881.0
5002770375,Stockbridge town,77109.0,11753.0
5002777500,Weathersfield town,83095.0,11951.0
5002782000,Weston town,115000.0,19696.0
5002783050,West Windsor town,108750.0,18461.0
5002784925,Windsor town,52484.0,10799.0
5002785975,Woodstock town,120938.0,29034.0
