GEOID,town_name,IFLD_EALT_weighted,IFLD_EALP_weighted,IFLD_EALPE_weighted,IFLD_EALB_weighted,IFLD_EALA_weighted,POPULATION_weighted,BUILDVALUE_weighted,AGRIVALUE_weighted,AREA_weighted,ALAND_sqmi,EAL_per_capita,EAL_per_building_value,EAL_per_agricultural_value,weight,RISK_SCORE_avg,SOVI_SCORE_avg,IFLD_RISKS_avg,RESL_SCORE_avg,CRF_VALUE_avg
5000910075,Brunswick town,64503.296064786235,2.762391826983812e-05,378.44768029663635,63925.14768952257,199.70069498718155,116.86590524904378,43634218.45713408,600867.3024837936,25.80167079704604,24.789548548032027,551.9428093876337,0.0014782732072571385,0.10735031811208598,0.06948032416708905,36.8948663979,32.29106202,68.4813242482,29.5344153536,1.000556928
5000911800,Canaan town,85053.67103043299,3.64247379658639e-05,499.0189101321431,84291.32794540573,263.3241749216783,154.09870295220955,57535826.67458729,792300.1303231094,34.021933046697804,33.02191452489125,551.9428093876337,0.0014782732072571388,0.107350318112086,0.09161635133900686,36.8948663979,32.29106202,68.4813242482,29.534415353600004,1.000556928
5000915250,Concord town,193166.1562655902,0.0001865092468435078,2555.17668175308,190034.12017593873,576.8594079090316,649.332372762322,174189970.35466626,1382618.0633739606,54.00536632699891,51.2846419911821,297.48425362475444,0.0011089396012427509,0.1397104242904311,0.2126170179313432,56.0462820924,63.68358704,77.9375215535,29.5344153536,1.277030055
5000921250,East Haven town,134760.6783393347,0.00013011654374191643,1782.5966492621785,132575.64077279335,402.44091728658566,453.0010469371644,121522108.31709228,964571.3913171801,37.676371166096835,37.25282236430153,297.48425362475444,0.0011089396012427509,0.13971042429043112,0.14833040174759804,56.04628209239999,63.68358704,77.9375215535,29.534415353600004,1.277030055
5000925975,Ferdinand town,135229.03645941184,5.791263514831567e-05,793.4031015316189,134016.96742593244,418.6659319900128,245.00552260014936,91477702.35944577,1259698.516386484,54.09235331824036,52.859880496609335,551.9428093876338,0.001478273207257139,0.10735031811208601,0.14566321200960128,36.8948663979,32.29106202,68.4813242482,29.534415353600004,1.000556928
5000929125,Granby town,140247.24678411984,0.0001354140335723051,1855.1722599384188,137973.24885977243,418.825664416717,471.4442699916051,126469689.2661688,1003842.3939832348,39.21030518677164,38.71934454053934,297.4842536247544,0.0011089396012427509,0.1397104242904311,0.15436944007583664,56.046282092400006,63.68358703999999,77.9375215535,29.534415353600004,1.277030055
5000930775,Guildhall town,119219.50414906799,0.00011511095089207442,1577.0200272195823,117286.45440161723,356.0297202377506,400.7590408447334,107507662.2887872,853332.9188180945,33.33137190989657,32.96975752870238,297.4842536247544,0.0011089396012427507,0.1397104242904311,0.131224309379415,56.0462820924,63.683587040000006,77.9375215535,29.5344153536,1.277030055
5000939700,Lemington town,90623.64902956682,3.881011400708713e-05,531.6985618968887,89811.38177125053,280.56869644772763,164.19028835634512,61303721.52094566,844186.1246740358,36.24995467424526,35.430067664710435,551.9428093876338,0.0014782732072571388,0.10735031811208598,0.09761610484919449,36.8948663979,32.29106202,68.4813242482,29.5344153536,1.000556928
5000939775,Lewis town,99391.2514512075,4.256489163076978e-05,583.1390153413212,98500.39944754828,307.7129883489409,180.0752718591977,67234697.18809484,925858.9373478305,39.75704353890336,38.885553025544375,551.9428093876338,0.001478273207257139,0.107350318112086,0.10706020919096178,36.8948663979,32.29106202,68.4813242482,29.534415353600004,1.000556928
5000941425,Lunenburg town,165461.28626033006,0.0001597591445560564,2188.700280415423,162778.46267453083,494.12330539293055,556.2018299934703,149206761.19321847,1184315.9671204481,46.25964273544611,45.1731903838052,297.48425362475444,0.0011089396012427509,0.1397104242904311,0.18212240667762616,56.0462820924,63.68358703999999,77.9375215535,29.5344153536,1.277030055
5000942475,Maidstone town,82039.85251289402,3.513405234996914e-05,481.33651719439166,81304.52253239874,253.99346332651788,148.63832106792933,55497084.104713514,764225.518430556,32.816389175676406,30.69471735516445,551.9428093876338,0.0014782732072571388,0.10735031811208598,0.08836998874430994,36.8948663979,32.29106202,68.4813242482,29.534415353600004,1.000556928
5000952750,Norton town,98841.09444565845,4.232928363731777e-05,579.9111858310299,97955.17354472273,306.00971513558665,179.07850734629568,66862535.26102466,920734.0619378237,39.53697773126451,38.38948318071666,551.9428093876338,0.0014782732072571388,0.107350318112086,0.10646760246509851,36.8948663979,32.29106202,68.4813242482,29.5344153536,1.000556928
