projectIdentifier,programArea,programFy,disasterNumber,projectCounties,projectType,status,subrecipient,dateApproved,projectAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,flood_mitigation_flag,subcategory,acquisition_buyouts,admin,ecosystem_restoration,equipment,flood_control,infrastructure_protection,infrastructure_stormwater,other,planning,structure_protection,funding_acquisition_buyouts,funding_admin,funding_ecosystem_restoration,funding_equipment,funding_flood_control,funding_infrastructure_protection,funding_infrastructure_stormwater,funding_other,funding_planning,funding_structure_protection,cost_per_property,cost_per_final_property,town_assigned,geo_level
DR-1336-0003-R,HMGP,2000,1336.0,ORLEANS,403.1: Stormwater Management - Culverts,Closed,Derby (Town of),2004-04-22T00:00:00.000Z,67200.0,50400.0,0.75,1.05,70368.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,50400.0,0.0,0.0,0.0,,,DERBY TOWN,local
DR-1307-0002-R,HMGP,2000,1307.0,CALEDONIA; ESSEX; FRANKLIN; GRAND ISLE; LAMOILLE; ORLEANS,"400.1: Utility Protective Measures (Electric, Gas, etc.)",Closed,DEPARTMENT OF PUBLIC SAFTEY,2004-04-22T00:00:00.000Z,1073.0,805.0,0.75,13.8,4140.0,0,0,1.0,utility_protection,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,805.0,0.0,0.0,0.0,0.0,,,,statewide
DR-4022-0051-R,HMGP,2011,4022.0,WINDSOR,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Sharon,2016-05-10T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,0,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SHARON TOWN,local
DR-4720-0056-R,HMGP,2023,4720.0,WINDSOR,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-01-27T00:00:00.000Z,366000.0,274500.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,274500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274500.0,274500.0,,statewide
DR-1995-0008-R,HMGP,2011,1995.0,WINDSOR,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Royalton (Town of),2016-12-13T00:00:00.000Z,86331.0,64748.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,64748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64748.0,64748.0,ROYALTON TOWN,local
DR-4720-0003-R,HMGP,2023,4720.0,ORANGE,904.1: Advanced Assistance,Approved,Tunbridge (Town of),2024-03-27T00:00:00.000Z,100000.0,75000.0,0.75,0.0,0.0,0,0,0.0,technical_assistance,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,,,TUNBRIDGE TOWN,local
DR-4720-0066-R,HMGP,2023,4720.0,WINDSOR,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-04-21T00:00:00.000Z,397000.0,297750.0,0.75,1.0,1.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,297750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297750.0,297750.0,,statewide
DR-1995-0006-R,HMGP,2011,1995.0,WINDSOR,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Royalton (Town of),2016-12-13T00:00:00.000Z,416495.0,312371.0,0.75,0.0,0.0,3,3,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,312371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104123.66666666667,104123.66666666667,ROYALTON TOWN,local
DR-4022-0130-R,HMGP,2011,4022.0,WINDSOR,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Royalton (Town of),2017-09-26T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROYALTON TOWN,local
DR-4720-0052-R,HMGP,2023,4720.0,WINDSOR,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-12-03T00:00:00.000Z,462245.0,346683.75,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,346683.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346683.75,346683.75,,statewide
