GEOID,NAME,NAMELSAD,ALAND,AWATER,town_area_sqm,pct_river_corridor,pct_high_risk_NFHL
5000183275,Weybridge,Weybridge town,44282021,1217222,45499245.0,13.509110875233832,0.0
5000906325,Bloomfield,Bloomfield town,104034229,612570,104646850.0,3.994555877081519,0.0
5000908725,Brighton,Brighton town,136927046,3829048,140756100.0,2.8782513992541148,0.0
5000915250,Concord,Concord town,132826613,5657915,138484539.0,3.435459471939532,0.0
5000921250,East Haven,East Haven town,96484367,116093,96600463.0,1.8065491012960913,0.0
5000929125,Granby,Granby town,100282642,240204,100522780.0,2.0740770122764673,0.0
5001523725,Elmore,Elmore town,100826320,1416251,102242602.0,1.1062503259160892,0.0
5001537075,Johnson,Johnson town,117378144,975830,118353992.0,4.742687930639637,0.0
5001570525,Stowe,Stowe town,187660671,432400,188092977.0,2.8973454515662813,2.1690435951957205
5001577425,Waterville,Waterville town,40622773,118129,40740903.0,3.464532662063652,0.0
5001300860,Alburgh,Alburgh town,75373352,47562250,122935601.0,0.2669187528937311,0.0
5000537900,Kirby,Kirby town,63961519,128184,64089698.0,0.7663862328663408,0.0
5000541725,Lyndon,Lyndon town,101892160,918754,102810918.0,5.964428300216138,0.0
5000547725,Newark,Newark town,95243417,1207165,96450594.0,2.440591569152918,0.0
5000554400,Peacham,Peacham town,120906410,2676271,123582702.0,1.2144106179722376,0.0
5000562200,St. Johnsbury,St. Johnsbury town,94407668,911352,95319036.0,5.36633699665684,0.0
5000564075,Sheffield,Sheffield town,84840736,666566,85507303.0,1.7968904650115944,0.0
5001772400,Thetford,Thetford town,112800232,2081778,114881872.0,3.574171270066179,0.003544110252467665
5001773075,Topsham,Topsham town,126706618,239800,126946423.0,2.768847459921663,0.0
5001773675,Tunbridge,Tunbridge town,115609011,394352,116003409.0,2.633120548760069,4.317656574383253e-07
5001774950,Vershire,Vershire town,93500027,133123,93633182.0,1.0679549930530143,0.0
5001779975,West Fairlee,West Fairlee town,58588748,560978,59149727.0,3.101877870270208,0.0
