"GEO_ID","NAME","B25035_001E","B25035_001M",
"Geography","Geographic Area Name","Estimate!!Median year structure built","Margin of Error!!Median year structure built",
"0600000US5001973525","Troy town, Orleans County, Vermont","1980","5",
"0600000US5001980200","Westfield town, Orleans County, Vermont","1973","5",
"0600000US5001981700","Westmore town, Orleans County, Vermont","1977","5",
"0600000US5002105200","Benson town, Rutland County, Vermont","1975","6",
"0600000US5002107750","Brandon town, Rutland County, Vermont","1951","22",
"0600000US5002111950","Castleton town, Rutland County, Vermont","1974","3",
"0600000US5002114350","Chittenden town, Rutland County, Vermont","1980","4",
"0600000US5002114500","Clarendon town, Rutland County, Vermont","1971","7",
"0600000US5002116825","Danby town, Rutland County, Vermont","1981","4",
"0600000US5002125375","Fair Haven town, Rutland County, Vermont","1939-","***",
"0600000US5002134450","Hubbardton town, Rutland County, Vermont","1973","2",
"0600000US5002135425","Ira town, Rutland County, Vermont","1975","5",
"0600000US5002137685","Killington town, Rutland County, Vermont","1983","1",
"0600000US5002144125","Mendon town, Rutland County, Vermont","1977","2",
"0600000US5002144800","Middletown Springs town, Rutland County, Vermont","1981","4",
"0600000US5002147200","Mount Holly town, Rutland County, Vermont","1984","3",
"0600000US5002147425","Mount Tabor town, Rutland County, Vermont","1946","4",
"0600000US5002154250","Pawlet town, Rutland County, Vermont","1964","8",
"0600000US5002155450","Pittsfield town, Rutland County, Vermont","1977","5",
"0600000US5002155600","Pittsford town, Rutland County, Vermont","1972","6",
"0600000US5002156875","Poultney town, Rutland County, Vermont","1968","7",
"0600000US5002157250","Proctor town, Rutland County, Vermont","1939-","***",
"0600000US5002161225","Rutland city, Rutland County, Vermont","1939-","***",
"0600000US5002161300","Rutland town, Rutland County, Vermont","1976","3",
"0600000US5002165275","Shrewsbury town, Rutland County, Vermont","1975","4",
"0600000US5002171050","Sudbury town, Rutland County, Vermont","1977","6",
"0600000US5002172925","Tinmouth town, Rutland County, Vermont","1973","5",
"0600000US5002175925","Wallingford town, Rutland County, Vermont","1971","9",
"0600000US5002177950","Wells town, Rutland County, Vermont","1977","3",
"0600000US5002180875","West Haven town, Rutland County, Vermont","1978","5",
"0600000US5002182300","West Rutland town, Rutland County, Vermont","1939-","***",
"0600000US5002303175","Barre city, Washington County, Vermont","1947","13",
"0600000US5002303250","Barre town, Washington County, Vermont","1974","4",
"0600000US5002305650","Berlin town, Washington County, Vermont","1979","5",
"0600000US5002311125","Cabot town, Washington County, Vermont","1977","8",
"0600000US5002311350","Calais town, Washington County, Vermont","1976","6",
"0600000US5002318550","Duxbury town, Washington County, Vermont","1988","7",
"0600000US5002321925","East Montpelier town, Washington County, Vermont","1978","5",
"0600000US5002325825","Fayston town, Washington County, Vermont","1977","2",
"0600000US5002343600","Marshfield town, Washington County, Vermont","1972","9",
"0600000US5002344500","Middlesex town, Washington County, Vermont","1986","4",
"0600000US5002346000","Montpelier city, Washington County, Vermont","1955","3",
"0600000US5002346225","Moretown town, Washington County, Vermont","1982","4",
"0600000US5002350275","Northfield town, Washington County, Vermont","1956","7",
"0600000US5002355825","Plainfield town, Washington County, Vermont","1955","21",
"0600000US5002360625","Roxbury town, Washington County, Vermont","1974","13",
"0600000US5002375325","Waitsfield town, Washington County, Vermont","1980","4",
"0600000US5002376525","Warren town, Washington County, Vermont","1977","1",
"0600000US5002376975","Waterbury town, Washington County, Vermont","1983","7",
"0600000US5002385525","Woodbury town, Washington County, Vermont","1970","7",
"0600000US5002386125","Worcester town, Washington County, Vermont","1976","4",
"0600000US5002501900","Athens town, Windham County, Vermont","1973","8",
"0600000US5002507900","Brattleboro town, Windham County, Vermont","1955","5",
"0600000US5002509475","Brookline town, Windham County, Vermont","1975","3",
"0600000US5002517875","Dover town, Windham County, Vermont","1984","2",
"0600000US5002518325","Dummerston town, Windham County, Vermont","1971","5",
"0600000US5002528900","Grafton town, Windham County, Vermont","1978","6",
"0600000US5002530925","Guilford town, Windham County, Vermont","1980","4",
"0600000US5002531150","Halifax town, Windham County, Vermont","1968","6",
"0600000US5002536175","Jamaica town, Windham County, Vermont","1976","4",
"0600000US5002540225","Londonderry town, Windham County, Vermont","1978","6",
"0600000US5002543375","Marlboro town, Windham County, Vermont","1976","7",
"0600000US5002548400","Newfane town, Windham County, Vermont","1971","7",
"0600000US5002557700","Putney town, Windham County, Vermont","1977","5",
"0600000US5002560250","Rockingham town, Windham County, Vermont","1939-","***",
"0600000US5002565762","Somerset town, Windham County, Vermont","1952","24",
"0600000US5002570750","Stratton town, Windham County, Vermont","1988","3",
